#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
   5 ADC                            6                0
   7 ADD                         6615                0
  10 ADDSD                          2                0
  11 ADDSS                         12                0
  21 AND                         2275                0
  24 ANDNPS                         1                0
  25 ANDPD                          8                0
  26 ANDPS                          3                0
  52 BSF                           35                0
  53 BSR                           18                0
  54 BSWAP                         43                0
  55 BT                            26                0
  58 BTS                            3                0
  61 CALL_NEAR                   9370                0
  63 CDQ                           14                0
  64 CDQE                         286                0
  67 CLD                            3                0
  91 CMP                        11252                0
 100 CMPXCHG                      594                0
 105 CPUID                          6                0
 106 CQO                            4                0
 120 CVTSI2SD                       4                0
 121 CVTSI2SS                      23                0
 129 CVTTSS2SI                      9                0
 134 DEC                          614                0
 135 DIV                           82                0
 138 DIVSD                          4                0
 139 DIVSS                          3                0
 149 FABS                           5                0
 150 FADD                           9                0
 154 FCHS                           4                0
 171 FDIV                           1                0
 172 FDIVP                          4                0
 174 FDIVRP                         1                0
 184 FILD                          12                0
 188 FISTP                          6                0
 192 FLD                           76                0
 193 FLD1                           3                0
 194 FLDCW                         12                0
 195 FLDENV                         3                0
 201 FLDZ                           6                0
 202 FMUL                          10                0
 203 FMULP                          2                0
 208 FNSTCW                         6                0
 209 FNSTENV                        2                0
 210 FNSTSW                         4                0
 223 FSTP                         102                0
 226 FSUBP                          3                0
 227 FSUBR                          3                0
 231 FUCOMI                        16                0
 232 FUCOMIP                       14                0
 236 FXAM                           4                0
 237 FXCH                          28                0
 248 HLT                            7                0
 251 IDIV                          15                0
 252 IMUL                         222                0
 254 INC                           49                0
 273 JB                           392                0
 274 JBE                          870                0
 275 JL                            96                0
 276 JLE                          445                0
 277 JMP                         8707                0
 279 JNB                          774                0
 280 JNBE                        1186                0
 281 JNL                           64                0
 282 JNLE                         334                0
 285 JNS                          132                0
 286 JNZ                         6479                0
 287 JO                             9                0
 288 JP                            10                0
 290 JS                           533                0
 291 JZ                         10544                0
 346 LDMXCSR                        2                0
 348 LEA                        10549                0
 349 LEAVE                          2                0
 378 MFENCE                         7                0
 384 MOV                        59469                0
 385 MOVAPD                        18                0
 386 MOVAPS                       378                0
 388 MOVD                          18                0
 391 MOVDQA                       213                0
 392 MOVDQU                       103                0
 395 MOVHPS                         1                0
 399 MOVMSKPD                       3                0
 409 MOVQ                          20                0
 413 MOVSD_XMM                     51                0
 417 MOVSS                         22                0
 419 MOVSX                        394                0
 420 MOVSXD                      1220                0
 422 MOVUPS                       104                0
 423 MOVZX                       2805                0
 427 MUL                           31                0
 430 MULSD                          9                0
 431 MULSS                         10                0
 434 NEG                          600                0
 435 NOP                         6350                0
 444 NOT                          107                0
 445 OR                          1200                0
 446 ORPD                           1                0
 447 ORPS                           1                0
 460 PADDD                          2                0
 461 PADDQ                          3                0
 468 PAND                           8                0
 470 PAUSE                          4                0
 477 PCMPEQB                      141                0
 478 PCMPEQD                      127                0
 484 PCMPGTD                        1                0
 534 PMAXUB                         9                0
 540 PMINUB                        22                0
 543 PMOVMSKB                     219                0
 564 POP                         6562                0
 571 POR                           17                0
 582 PSHUFD                        11                0
 591 PSLLQ                          2                0
 599 PSUBB                         41                0
 610 PUNPCKHDQ                      1                0
 613 PUNPCKLBW                     12                0
 614 PUNPCKLDQ                      5                0
 615 PUNPCKLQDQ                     2                0
 616 PUNPCKLWD                      4                0
 617 PUSH                        5034                0
 623 PXOR                          74                0
 634 RDTSC                         21                0
 637 RET_NEAR                    3803                0
 638 ROL                           94                0
 639 ROR                          185                0
 650 SAR                          339                0
 652 SBB                          162                0
 657 SETB                          10                0
 658 SETBE                         19                0
 659 SETL                           6                0
 660 SETLE                          8                0
 661 SETNB                         66                0
 662 SETNBE                        16                0
 663 SETNL                          1                0
 664 SETNLE                        35                0
 668 SETNZ                        192                0
 670 SETP                           6                0
 672 SETZ                         391                0
 682 SHL                          576                0
 685 SHR                          669                0
 688 SHUFPD                        48                0
 704 STMXCSR                        2                0
 710 SUB                         4466                0
 713 SUBSD                          2                0
 714 SUBSS                          5                0
 716 SYSCALL                      601                0
 723 TEST                        9488                0
 726 UCOMISD                       22                0
